id|rightsId|version
010001000EB0D001|00000000000000000000000000000000|0
010001000EB0D002|00000000000000000000000000000000|0
010001000F2E8000|00000000000000000000000000000000|0
0100010016026000|00000000000000000000000000000000|0
010001001997C000|00000000000000000000000000000000|0
010001001997C800|00000000000000000000000000000000|131072
010001001997D001|00000000000000000000000000000000|0
010001001997D002|00000000000000000000000000000000|0
010001001997D003|00000000000000000000000000000000|0
010001001997D004|00000000000000000000000000000000|0
010001001D5D6000|00000000000000000000000000000000|0
010001001D5D6800|00000000000000000000000000000000|65536
010001001E110000|00000000000000000000000000000000|0
010001001E110800|00000000000000000000000000000000|65536
010001002677C000|00000000000000000000000000000000|0
0100011005D92000|0100011005D920000000000000000003|0
0100011005D92800|00000000000000000000000000000000|196608
0100011005D9306A|00000000000000000000000000000000|131072
010001100E708000|00000000000000000000000000000000|0
010001100E820000|00000000000000000000000000000000|
01000110103E4000|00000000000000000000000000000000|0
01000110103E4800|00000000000000000000000000000000|65536
0100011012A70000|00000000000000000000000000000000|0
010001300CC4A000|010001300CC4A0000000000000000007|0
010001300CC4A800|00000000000000000000000000000000|327680
010001300D14A000|00000000000000000000000000000000|0
010001300D14A800|00000000000000000000000000000000|458752
0100013010456000|00000000000000000000000000000000|0
0100013010456800|00000000000000000000000000000000|131072
01000130120EE000|00000000000000000000000000000000|0
01000130120EE800|00000000000000000000000000000000|1179648
01000130120EF001|00000000000000000000000000000000|0
01000130120EF002|00000000000000000000000000000000|0
01000130120EF003|00000000000000000000000000000000|0
01000130120EF004|00000000000000000000000000000000|0
0100013012E4E000|00000000000000000000000000000000|0
0100013013F30000|00000000000000000000000000000000|0
0100013013F30800|00000000000000000000000000000000|131072
01000130150FA000|00000000000000000000000000000000|0
01000130150FA800|00000000000000000000000000000000|65536
0100013018030000|00000000000000000000000000000000|0
0100013018030800|00000000000000000000000000000000|131072
010001301EB86000|00000000000000000000000000000000|0
010001301EB86800|00000000000000000000000000000000|65536
010001301F272000|00000000000000000000000000000000|0
010001301FF9E000|00000000000000000000000000000000|0
01000130218FE000|00000000000000000000000000000000|0
010001400E474000|00000000000000000000000000000000|0
010001400E474800|00000000000000000000000000000000|65536
010001401F532000|00000000000000000000000000000000|0
010001401F532800|00000000000000000000000000000000|65536
010001401F533001|00000000000000000000000000000000|65536
010001501B98A000|00000000000000000000000000000000|0
010001501B98A800|00000000000000000000000000000000|196608
0100015022FD6000|00000000000000000000000000000000|0
01000150253E0000|00000000000000000000000000000000|0
010001502542A000|00000000000000000000000000000000|0
0100016007154000|01000160071540000000000000000003|0
0100016007154800|00000000000000000000000000000000|262144
0100016007155001|01000160071550010000000000000003|0
0100016007155002|01000160071550020000000000000003|0
0100016007155003|01000160071550030000000000000003|0
0100016007155004|01000160071550040000000000000003|0
0100016007155005|01000160071550050000000000000003|0
010001600C962000|010001600C9620000000000000000007|0
010001600C962800|00000000000000000000000000000000|262144
010001600D1E8000|00000000000000000000000000000000|0
0100016011A1A000|00000000000000000000000000000000|0
01000160127EC000|00000000000000000000000000000000|0
01000160127EC800|00000000000000000000000000000000|65536
0100016012D38000|00000000000000000000000000000000|0
0100016012D38800|00000000000000000000000000000000|65536
010001601590E000|00000000000000000000000000000000|0
010001601590E800|00000000000000000000000000000000|65536
0100016018864000|00000000000000000000000000000000|0
0100016018864800|00000000000000000000000000000000|262144
0100016018865001|00000000000000000000000000000000|0
0100016018865002|00000000000000000000000000000000|0
0100016018865003|00000000000000000000000000000000|0
0100016018865004|00000000000000000000000000000000|0
0100016018865005|00000000000000000000000000000000|0
0100016018865006|00000000000000000000000000000000|0
01000160262F0000|00000000000000000000000000000000|0
0100016027238000|00000000000000000000000000000000|0
0100017007980000|01000170079800000000000000000004|0
0100017007980800|00000000000000000000000000000000|
010001701248C000|00000000000000000000000000000000|0
010001701248C800|00000000000000000000000000000000|262144
010001701248D001|00000000000000000000000000000000|0
010001701248D002|00000000000000000000000000000000|0
010001701248D003|00000000000000000000000000000000|65536
010001701248D004|00000000000000000000000000000000|65536
010001701248D005|00000000000000000000000000000000|0
010001701248D006|00000000000000000000000000000000|0
010001701248D009|00000000000000000000000000000000|0
010001701248D00A|00000000000000000000000000000000|0
010001701248D00B|00000000000000000000000000000000|0
010001701248D00C|00000000000000000000000000000000|0
01000170143D6000|00000000000000000000000000000000|0
01000170143D6800|00000000000000000000000000000000|65536
0100017016FC6000|00000000000000000000000000000000|0
0100017016FC6800|00000000000000000000000000000000|131072
0100017016FC7001|00000000000000000000000000000000|0
0100017016FC7002|00000000000000000000000000000000|0
0100017016FC7003|00000000000000000000000000000000|0
